26/07/2011
corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm	corrugada6_setbottom_C11_Pin=-1 _X	corrugada6_setbottom_C11_Pin=-1_Y	corrugada6_setbottom_C11_Pin=-1_Ynorm
1.555000E+3	7.956000E+1	-1.003400E+2	1.554000E+3	4.181000E+1	-1.377900E+2	1.555000E+3	3.266000E+0	-1.764340E+2
1.555050E+3	7.524000E+1	-1.046600E+2	1.555050E+3	7.320000E+1	-1.064000E+2	1.555050E+3	-1.391000E+0	-1.810910E+2
1.555100E+3	6.521000E+1	-1.146900E+2	1.555100E+3	5.923000E+1	-1.203700E+2	1.555100E+3	-1.502000E+1	-1.947200E+2
1.555150E+3	5.595000E+1	-1.239500E+2	1.555150E+3	4.045000E+1	-1.391500E+2	1.555150E+3	-3.092000E+1	-2.106200E+2
1.555200E+3	5.641000E+1	-1.234900E+2	1.555200E+3	4.514000E+1	-1.344600E+2	1.555200E+3	-2.997000E+1	-2.096700E+2
1.555250E+3	6.138000E+1	-1.185200E+2	1.555250E+3	4.949000E+1	-1.301100E+2	1.555250E+3	-2.348000E+1	-2.031800E+2
1.555300E+3	6.041000E+1	-1.194900E+2	1.555300E+3	5.066000E+1	-1.289400E+2	1.555300E+3	-2.503000E+1	-2.047300E+2
1.555350E+3	5.713000E+1	-1.227700E+2	1.555350E+3	4.967000E+1	-1.299300E+2	1.555350E+3	-2.680000E+1	-2.065000E+2
1.555400E+3	5.766000E+1	-1.222400E+2	1.555400E+3	4.869000E+1	-1.309100E+2	1.555400E+3	-2.636000E+1	-2.060600E+2
1.555450E+3	6.023000E+1	-1.196700E+2	1.555450E+3	5.251000E+1	-1.270900E+2	1.555450E+3	-2.188000E+1	-2.015800E+2
1.555500E+3	5.973000E+1	-1.201700E+2	1.555500E+3	5.080000E+1	-1.288000E+2	1.555500E+3	-2.260000E+1	-2.023000E+2
1.555550E+3	5.895000E+1	-1.209500E+2	1.555550E+3	5.128000E+1	-1.283200E+2	1.555550E+3	-2.279000E+1	-2.024900E+2
1.555600E+3	6.413000E+1	-1.157700E+2	1.555600E+3	5.604000E+1	-1.235600E+2	1.555600E+3	-1.859000E+1	-1.982900E+2
1.555650E+3	6.806000E+1	-1.118400E+2	1.555650E+3	6.047000E+1	-1.191300E+2	1.555650E+3	-1.391000E+1	-1.936100E+2
