24/10/2012
V740D9_TMnoRing_-0.75dBm _X	V740D9_TMnoRing_-0.75dBm_Y	V740D9_TMnoRing_-0.75dBm_Ynorm	V740D9_TMnoRing _X	V740D9_TMnoRing_Y	V740D9_TMnoRing_Ynorm	V740D9_TMr20g350 _X	V740D9_TMr20g350_Y	V740D9_TMr20g350_Ynorm	V740D9_TMr20g400 _X	V740D9_TMr20g400_Y	V740D9_TMr20g400_Ynorm	V740D9_TMr20g450 _X	V740D9_TMr20g450_Y	V740D9_TMr20g450_Ynorm	V740D9_TMr20g500 _X	V740D9_TMr20g500_Y	V740D9_TMr20g500_Ynorm	V740D9_TMr20g550 _X	V740D9_TMr20g550_Y	V740D9_TMr20g550_Ynorm	V740D9_TMr20g700 _X	V740D9_TMr20g700_Y	V740D9_TMr20g700_Ynorm	V740D9_TMr20g385g395 _X	V740D9_TMr20g385g395_Y	V740D9_TMr20g385g395_Ynorm	V740D9_TMr20g385g395 _X	V740D9_TMr20g385g395_Y	V740D9_TMr20g385g395_Ynorm	V740D9_TEr20g200 _X	V740D9_TEr20g200_Y	V740D9_TEr20g200_Ynorm	V740D9_TEnoRing _X	V740D9_TEnoRing_Y	V740D9_TEnoRing_Ynorm	V740D9_TEr20g275 _X	V740D9_TEr20g275_Y	V740D9_TEr20g275_Ynorm	V740D9_TEr20g325 _X	V740D9_TEr20g325_Y	V740D9_TEr20g325_Ynorm	V740D9_TEr20g400 _X	V740D9_TEr20g400_Y	V740D9_TEr20g400_Ynorm	V740D9_TEr20g170g180 _X	V740D9_TEr20g170g180_Y	V740D9_TEr20g170g180_Ynorm
1.530000E+3	-1.642500E+1	-2.105000E+0	1.445000E+3	-8.135200E+1	-4.884900E+1	1.445000E+3	-6.835300E+1	-3.879600E+1	1.445000E+3	-7.012800E+1	-4.065100E+1	1.445000E+3	-6.406200E+1	-3.490300E+1	1.445000E+3	-6.536700E+1	-3.585200E+1	1.445000E+3	-6.744500E+1	-3.816400E+1	1.445000E+3	-6.739700E+1	-3.812800E+1	1.445000E+3	-7.083500E+1	-4.104800E+1	1.500000E+3	-4.643500E+1	-1.675100E+1	1.530000E+3	-3.555600E+1	-5.816000E+0	1.530000E+3	-3.427400E+1	-3.963000E+0	1.530000E+3	-3.393700E+1	-3.616000E+0	1.530000E+3	-3.332800E+1	-3.029000E+0	1.530000E+3	-3.413100E+1	-3.847000E+0	1.530000E+3	-3.455300E+1	-4.061000E+0
1.530500E+3	-1.641000E+1	-2.090000E+0	1.445500E+3	-8.135200E+1	-4.884900E+1	1.445500E+3	-6.848700E+1	-3.893000E+1	1.445500E+3	-7.063200E+1	-4.115500E+1	1.445500E+3	-6.417200E+1	-3.501300E+1	1.445500E+3	-6.541100E+1	-3.589600E+1	1.445500E+3	-6.769400E+1	-3.841300E+1	1.445500E+3	-6.760500E+1	-3.833600E+1	1.445500E+3	-7.118400E+1	-4.139700E+1	1.500010E+3	-5.379800E+1	-2.411400E+1	1.530010E+3	-3.479500E+1	-5.055000E+0	1.530010E+3	-3.440900E+1	-4.098000E+0	1.530010E+3	-3.398600E+1	-3.665000E+0	1.530010E+3	-3.344300E+1	-3.144000E+0	1.530010E+3	-3.424400E+1	-3.960000E+0	1.530010E+3	-3.496700E+1	-4.475000E+0
1.531000E+3	-1.632800E+1	-2.008000E+0	1.446000E+3	-8.135200E+1	-4.884900E+1	1.446000E+3	-6.858500E+1	-3.902800E+1	1.446000E+3	-7.085600E+1	-4.137900E+1	1.446000E+3	-6.422800E+1	-3.506900E+1	1.446000E+3	-6.560500E+1	-3.609000E+1	1.446000E+3	-6.775000E+1	-3.846900E+1	1.446000E+3	-6.768300E+1	-3.841400E+1	1.446000E+3	-7.172100E+1	-4.193400E+1	1.500020E+3	-5.419400E+1	-2.451000E+1	1.530020E+3	-3.458900E+1	-4.849000E+0	1.530020E+3	-3.441700E+1	-4.106000E+0	1.530020E+3	-3.400200E+1	-3.681000E+0	1.530020E+3	-3.348700E+1	-3.188000E+0	1.530020E+3	-3.429000E+1	-4.006000E+0	1.530020E+3	-3.505800E+1	-4.566000E+0
1.531500E+3	-1.632000E+1	-2.000000E+0	1.446500E+3	-8.135200E+1	-4.884900E+1	1.446500E+3	-6.862900E+1	-3.907200E+1	1.446500E+3	-7.094000E+1	-4.146300E+1	1.446500E+3	-6.422700E+1	-3.506800E+1	1.446500E+3	-6.561400E+1	-3.609900E+1	1.446500E+3	-6.781400E+1	-3.853300E+1	1.446500E+3	-6.776200E+1	-3.849300E+1	1.446500E+3	-7.170500E+1	-4.191800E+1	1.500030E+3	-5.521700E+1	-2.553300E+1	1.530030E+3	-3.451600E+1	-4.776000E+0	1.530030E+3	-3.441900E+1	-4.108000E+0	1.530030E+3	-3.401500E+1	-3.694000E+0	1.530030E+3	-3.348600E+1	-3.187000E+0	1.530030E+3	-3.431700E+1	-4.033000E+0	1.530030E+3	-3.506700E+1	-4.575000E+0
1.532000E+3	-1.628000E+1	-1.960000E+0	1.447000E+3	-8.135200E+1	-4.884900E+1	1.447000E+3	-6.849000E+1	-3.893300E+1	1.447000E+3	-7.028500E+1	-4.080800E+1	1.447000E+3	-6.424300E+1	-3.508400E+1	1.447000E+3	-6.576800E+1	-3.625300E+1	1.447000E+3	-6.782200E+1	-3.854100E+1	1.447000E+3	-6.755700E+1	-3.828800E+1	1.447000E+3	-7.158800E+1	-4.180100E+1	1.500040E+3	-5.562600E+1	-2.594200E+1	1.530040E+3	-3.445900E+1	-4.719000E+0	1.530040E+3	-3.439900E+1	-4.088000E+0	1.530040E+3	-3.403900E+1	-3.718000E+0	1.530040E+3	-3.347500E+1	-3.176000E+0	1.530040E+3	-3.431200E+1	-4.028000E+0	1.530040E+3	-3.505100E+1	-4.559000E+0
1.532500E+3	-1.621400E+1	-1.894000E+0	1.447500E+3	-8.135200E+1	-4.884900E+1	1.447500E+3	-6.855500E+1	-3.899800E+1	1.447500E+3	-7.029500E+1	-4.081800E+1	1.447500E+3	-6.422700E+1	-3.506800E+1	1.447500E+3	-6.574700E+1	-3.623200E+1	1.447500E+3	-6.776700E+1	-3.848600E+1	1.447500E+3	-6.748800E+1	-3.821900E+1	1.447500E+3	-7.133400E+1	-4.154700E+1	1.500050E+3	-5.591000E+1	-2.622600E+1	1.530050E+3	-3.445700E+1	-4.717000E+0	1.530050E+3	-3.440000E+1	-4.089000E+0	1.530050E+3	-3.403100E+1	-3.710000E+0	1.530050E+3	-3.347900E+1	-3.180000E+0	1.530050E+3	-3.431800E+1	-4.034000E+0	1.530050E+3	-3.502700E+1	-4.535000E+0
1.533000E+3	-1.616200E+1	-1.842000E+0	1.448000E+3	-8.135200E+1	-4.884900E+1	1.448000E+3	-6.863500E+1	-3.907800E+1	1.448000E+3	-7.012000E+1	-4.064300E+1	1.448000E+3	-6.419100E+1	-3.503200E+1	1.448000E+3	-6.571700E+1	-3.620200E+1	1.448000E+3	-6.772400E+1	-3.844300E+1	1.448000E+3	-6.726200E+1	-3.799300E+1	1.448000E+3	-7.123400E+1	-4.144700E+1	1.500060E+3	-5.770800E+1	-2.802400E+1	1.530060E+3	-3.447300E+1	-4.733000E+0	1.530060E+3	-3.442600E+1	-4.115000E+0	1.530060E+3	-3.402200E+1	-3.701000E+0	1.530060E+3	-3.346200E+1	-3.163000E+0	1.530060E+3	-3.429900E+1	-4.015000E+0	1.530060E+3	-3.494900E+1	-4.457000E+0
1.533500E+3	-1.606800E+1	-1.748000E+0	1.448500E+3	-8.135200E+1	-4.884900E+1	1.448500E+3	-6.844300E+1	-3.888600E+1	1.448500E+3	-6.998900E+1	-4.051200E+1	1.448500E+3	-6.412000E+1	-3.496100E+1	1.448500E+3	-6.567800E+1	-3.616300E+1	1.448500E+3	-6.760300E+1	-3.832200E+1	1.448500E+3	-6.722800E+1	-3.795900E+1	1.448500E+3	-7.110300E+1	-4.131600E+1	1.500070E+3	-6.874300E+1	-3.905900E+1	1.530070E+3	-3.447500E+1	-4.735000E+0	1.530070E+3	-3.445300E+1	-4.142000E+0	1.530070E+3	-3.404400E+1	-3.723000E+0	1.530070E+3	-3.344000E+1	-3.141000E+0	1.530070E+3	-3.429900E+1	-4.015000E+0	1.530070E+3	-3.490400E+1	-4.412000E+0
1.534000E+3	-1.599200E+1	-1.672000E+0	1.449000E+3	-8.135200E+1	-4.884900E+1	1.449000E+3	-6.859200E+1	-3.903500E+1	1.449000E+3	-6.980400E+1	-4.032700E+1	1.449000E+3	-6.405700E+1	-3.489800E+1	1.449000E+3	-6.560300E+1	-3.608800E+1	1.449000E+3	-6.768900E+1	-3.840800E+1	1.449000E+3	-6.710000E+1	-3.783100E+1	1.449000E+3	-7.141600E+1	-4.162900E+1	1.500080E+3	-6.599200E+1	-3.630800E+1	1.530080E+3	-3.450400E+1	-4.764000E+0	1.530080E+3	-3.445700E+1	-4.146000E+0	1.530080E+3	-3.404600E+1	-3.725000E+0	1.530080E+3	-3.342800E+1	-3.129000E+0	1.530080E+3	-3.430700E+1	-4.023000E+0	1.530080E+3	-3.490100E+1	-4.409000E+0
1.534500E+3	-1.589100E+1	-1.571000E+0	1.449500E+3	-8.135200E+1	-4.884900E+1	1.449500E+3	-6.854500E+1	-3.898800E+1	1.449500E+3	-6.987900E+1	-4.040200E+1	1.449500E+3	-6.410300E+1	-3.494400E+1	1.449500E+3	-6.562500E+1	-3.611000E+1	1.449500E+3	-6.745500E+1	-3.817400E+1	1.449500E+3	-6.703700E+1	-3.776800E+1	1.449500E+3	-7.196700E+1	-4.218000E+1	1.500090E+3	-6.343000E+1	-3.374600E+1	1.530090E+3	-3.452100E+1	-4.781000E+0	1.530090E+3	-3.447000E+1	-4.159000E+0	1.530090E+3	-3.407400E+1	-3.753000E+0	1.530090E+3	-3.342700E+1	-3.128000E+0	1.530090E+3	-3.429000E+1	-4.006000E+0	1.530090E+3	-3.486600E+1	-4.374000E+0
1.535000E+3	-1.577000E+1	-1.450000E+0	1.450000E+3	-8.135200E+1	-4.884900E+1	1.450000E+3	-6.845500E+1	-3.889800E+1	1.450000E+3	-6.958300E+1	-4.010600E+1	1.450000E+3	-6.399700E+1	-3.483800E+1	1.450000E+3	-6.539100E+1	-3.587600E+1	1.450000E+3	-6.744600E+1	-3.816500E+1	1.450000E+3	-6.714400E+1	-3.787500E+1	1.450000E+3	-7.048700E+1	-4.070000E+1	1.500100E+3	-6.269500E+1	-3.301100E+1	1.530100E+3	-3.445200E+1	-4.712000E+0	1.530100E+3	-3.446900E+1	-4.158000E+0	1.530100E+3	-3.408400E+1	-3.763000E+0	1.530100E+3	-3.343300E+1	-3.134000E+0	1.530100E+3	-3.427000E+1	-3.986000E+0	1.530100E+3	-3.482500E+1	-4.333000E+0
