06/03/2012
V740 C11 Middle set
Pin 0.6dBm
MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr1001 _X	MZIcorr1001_Y	MZIcorr1001_Ynorm	MZIcorr51 _X	MZIcorr51_Y	MZIcorr51_Ynorm	MZIcorr101 _X	MZIcorr101_Y	MZIcorr101_Ynorm	corrWi1100_101taps _X	corrWi1100_101taps_Y	corrWi1100_101taps_Ynorm	corrWi1100_1001taps _X	corrWi1100_1001taps_Y	corrWi1100_1001taps_Ynorm
1.530000E+3	-2.538600E+1	-1.320000E-1	1.560000E+3	-2.916600E+1	-2.670000E-1	1.530000E+3	-2.244050E+1	-2.225000E-1	1.530000E+3	-2.213100E+1	-1.930000E-1	1.530000E+3	-5.041500E+1	-2.941100E+1	1.530000E+3	-6.208350E+1	-3.314950E+1
1.530100E+3	-2.541300E+1	-1.590000E-1	1.560050E+3	-2.911600E+1	-2.170000E-1	1.530050E+3	-2.227100E+1	-5.300000E-2	1.530050E+3	-2.210000E+1	-1.620000E-1	1.530050E+3	-5.040600E+1	-2.940200E+1	1.530050E+3	-6.207800E+1	-3.314400E+1
1.530200E+3	-2.549667E+1	-2.426667E-1	1.560100E+3	-2.908900E+1	-1.900000E-1	1.530100E+3	-2.225900E+1	-4.100000E-2	1.530100E+3	-2.208600E+1	-1.480000E-1	1.530100E+3	-5.038100E+1	-2.937700E+1	1.530100E+3	-6.201000E+1	-3.307600E+1
1.530300E+3	-2.562467E+1	-3.706667E-1	1.560150E+3	-2.909100E+1	-1.920000E-1	1.530150E+3	-2.221800E+1	0.000000E+0	1.530150E+3	-2.205400E+1	-1.160000E-1	1.530150E+3	-5.036200E+1	-2.935800E+1	1.530150E+3	-6.201900E+1	-3.308500E+1
1.530400E+3	-2.556800E+1	-3.140000E-1	1.560200E+3	-2.918100E+1	-2.820000E-1	1.530200E+3	-2.226800E+1	-5.000000E-2	1.530200E+3	-2.199600E+1	-5.800000E-2	1.530200E+3	-5.037300E+1	-2.936900E+1	1.530200E+3	-6.201900E+1	-3.308500E+1
1.530500E+3	-2.550000E+1	-2.460000E-1	1.560250E+3	-2.927000E+1	-3.710000E-1	1.530250E+3	-2.231500E+1	-9.700000E-2	1.530250E+3	-2.196600E+1	-2.800000E-2	1.530250E+3	-5.041400E+1	-2.941000E+1	1.530250E+3	-6.203400E+1	-3.310000E+1
1.530600E+3	-2.549000E+1	-2.360000E-1	1.560300E+3	-2.921600E+1	-3.170000E-1	1.530300E+3	-2.226900E+1	-5.100000E-2	1.530300E+3	-2.198000E+1	-4.200000E-2	1.530300E+3	-5.047000E+1	-2.946600E+1	1.530300E+3	-6.208200E+1	-3.314800E+1
1.530700E+3	-2.544600E+1	-1.920000E-1	1.560350E+3	-2.914100E+1	-2.420000E-1	1.530350E+3	-2.224800E+1	-3.000000E-2	1.530350E+3	-2.193800E+1	0.000000E+0	1.530350E+3	-5.048800E+1	-2.948400E+1	1.530350E+3	-6.208300E+1	-3.314900E+1
1.530800E+3	-2.541300E+1	-1.590000E-1	1.560400E+3	-2.918200E+1	-2.830000E-1	1.530400E+3	-2.231600E+1	-9.800000E-2	1.530400E+3	-2.194000E+1	-2.000000E-3	1.530400E+3	-5.045900E+1	-2.945500E+1	1.530400E+3	-6.201400E+1	-3.308000E+1
1.530900E+3	-2.540000E+1	-1.460000E-1	1.560450E+3	-2.926900E+1	-3.700000E-1	1.530450E+3	-2.235700E+1	-1.390000E-1	1.530450E+3	-2.198800E+1	-5.000000E-2	1.530450E+3	-5.038500E+1	-2.938100E+1	1.530450E+3	-6.194300E+1	-3.300900E+1
1.531000E+3	-2.542400E+1	-1.700000E-1	1.560500E+3	-2.923100E+1	-3.320000E-1	1.530500E+3	-2.235200E+1	-1.340000E-1	1.530500E+3	-2.202300E+1	-8.500000E-2	1.530500E+3	-5.031000E+1	-2.930600E+1	1.530500E+3	-6.186400E+1	-3.293000E+1
1.531100E+3	-2.547200E+1	-2.180000E-1	1.560550E+3	-2.917800E+1	-2.790000E-1	1.530550E+3	-2.237100E+1	-1.530000E-1	1.530550E+3	-2.205500E+1	-1.170000E-1	1.530550E+3	-5.027400E+1	-2.927000E+1	1.530550E+3	-6.185200E+1	-3.291800E+1
1.531200E+3	-2.546000E+1	-2.060000E-1	1.560600E+3	-2.919400E+1	-2.950000E-1	1.530600E+3	-2.246000E+1	-2.420000E-1	1.530600E+3	-2.213500E+1	-1.970000E-1	1.530600E+3	-5.029500E+1	-2.929100E+1	1.530600E+3	-6.183100E+1	-3.289700E+1
1.531300E+3	-2.544100E+1	-1.870000E-1	1.560650E+3	-2.922700E+1	-3.280000E-1	1.530650E+3	-2.243800E+1	-2.200000E-1	1.530650E+3	-2.216400E+1	-2.260000E-1	1.530650E+3	-5.032900E+1	-2.932500E+1	1.530650E+3	-6.182800E+1	-3.289400E+1
