24/10/2012
V740D9_TEr20g200 _X	V740D9_TEr20g200_Y	V740D9_TEr20g200_Ynorm	V740D9_TEnoRing _X	V740D9_TEnoRing_Y	V740D9_TEnoRing_Ynorm	V740D9_TEr20g275 _X	V740D9_TEr20g275_Y	V740D9_TEr20g275_Ynorm	V740D9_TEr20g325 _X	V740D9_TEr20g325_Y	V740D9_TEr20g325_Ynorm	V740D9_TEr20g400 _X	V740D9_TEr20g400_Y	V740D9_TEr20g400_Ynorm	V740D9_TEr20g170g180 _X	V740D9_TEr20g170g180_Y	V740D9_TEr20g170g180_Ynorm
1.530000E+3	-3.555600E+1	-5.816000E+0	1.530000E+3	-3.427400E+1	-3.963000E+0	1.530000E+3	-3.393700E+1	-3.616000E+0	1.530000E+3	-3.332800E+1	-3.029000E+0	1.530000E+3	-3.413100E+1	-3.847000E+0	1.530000E+3	-3.455300E+1	-4.061000E+0
1.530010E+3	-3.479500E+1	-5.055000E+0	1.530010E+3	-3.440900E+1	-4.098000E+0	1.530010E+3	-3.398600E+1	-3.665000E+0	1.530010E+3	-3.344300E+1	-3.144000E+0	1.530010E+3	-3.424400E+1	-3.960000E+0	1.530010E+3	-3.496700E+1	-4.475000E+0
1.530020E+3	-3.458900E+1	-4.849000E+0	1.530020E+3	-3.441700E+1	-4.106000E+0	1.530020E+3	-3.400200E+1	-3.681000E+0	1.530020E+3	-3.348700E+1	-3.188000E+0	1.530020E+3	-3.429000E+1	-4.006000E+0	1.530020E+3	-3.505800E+1	-4.566000E+0
1.530030E+3	-3.451600E+1	-4.776000E+0	1.530030E+3	-3.441900E+1	-4.108000E+0	1.530030E+3	-3.401500E+1	-3.694000E+0	1.530030E+3	-3.348600E+1	-3.187000E+0	1.530030E+3	-3.431700E+1	-4.033000E+0	1.530030E+3	-3.506700E+1	-4.575000E+0
1.530040E+3	-3.445900E+1	-4.719000E+0	1.530040E+3	-3.439900E+1	-4.088000E+0	1.530040E+3	-3.403900E+1	-3.718000E+0	1.530040E+3	-3.347500E+1	-3.176000E+0	1.530040E+3	-3.431200E+1	-4.028000E+0	1.530040E+3	-3.505100E+1	-4.559000E+0
1.530050E+3	-3.445700E+1	-4.717000E+0	1.530050E+3	-3.440000E+1	-4.089000E+0	1.530050E+3	-3.403100E+1	-3.710000E+0	1.530050E+3	-3.347900E+1	-3.180000E+0	1.530050E+3	-3.431800E+1	-4.034000E+0	1.530050E+3	-3.502700E+1	-4.535000E+0
1.530060E+3	-3.447300E+1	-4.733000E+0	1.530060E+3	-3.442600E+1	-4.115000E+0	1.530060E+3	-3.402200E+1	-3.701000E+0	1.530060E+3	-3.346200E+1	-3.163000E+0	1.530060E+3	-3.429900E+1	-4.015000E+0	1.530060E+3	-3.494900E+1	-4.457000E+0
1.530070E+3	-3.447500E+1	-4.735000E+0	1.530070E+3	-3.445300E+1	-4.142000E+0	1.530070E+3	-3.404400E+1	-3.723000E+0	1.530070E+3	-3.344000E+1	-3.141000E+0	1.530070E+3	-3.429900E+1	-4.015000E+0	1.530070E+3	-3.490400E+1	-4.412000E+0
1.530080E+3	-3.450400E+1	-4.764000E+0	1.530080E+3	-3.445700E+1	-4.146000E+0	1.530080E+3	-3.404600E+1	-3.725000E+0	1.530080E+3	-3.342800E+1	-3.129000E+0	1.530080E+3	-3.430700E+1	-4.023000E+0	1.530080E+3	-3.490100E+1	-4.409000E+0
1.530090E+3	-3.452100E+1	-4.781000E+0	1.530090E+3	-3.447000E+1	-4.159000E+0	1.530090E+3	-3.407400E+1	-3.753000E+0	1.530090E+3	-3.342700E+1	-3.128000E+0	1.530090E+3	-3.429000E+1	-4.006000E+0	1.530090E+3	-3.486600E+1	-4.374000E+0
