26/07/2011
corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm	corrugada1_setbottom_C11_Pin=-1 _X	corrugada1_setbottom_C11_Pin=-1_Y	corrugada1_setbottom_C11_Pin=-1_Ynorm
1.566000E+3	-8.270000E+1	-2.627000E+2	1.566000E+3	1.070000E+2	-7.290000E+1	1.566000E+3	1.502000E+2	-2.980000E+1
1.566100E+3	4.499000E+1	-1.350100E+2	1.566050E+3	1.762000E+2	-3.700000E+0	1.566050E+3	9.670000E+1	-8.330000E+1
1.566200E+3	7.524000E+1	-1.047600E+2	1.566100E+3	-6.680000E+1	-2.467000E+2	1.566100E+3	-1.776000E+2	-3.576000E+2
1.566300E+3	-1.519000E+2	-3.319000E+2	1.566150E+3	1.725000E+2	-7.400000E+0	1.566150E+3	-1.566000E+2	-3.366000E+2
1.566400E+3	9.938000E+1	-8.062000E+1	1.566200E+3	6.446000E+1	-1.154400E+2	1.566200E+3	1.195000E+2	-6.050000E+1
1.566500E+3	-9.000000E+1	-2.700000E+2	1.566250E+3	-5.904000E+1	-2.389400E+2	1.566250E+3	2.320000E+1	-1.568000E+2
1.566600E+3	1.557000E+2	-2.430000E+1	1.566300E+3	1.065000E+2	-7.340000E+1	1.566300E+3	9.888000E+1	-8.112000E+1
1.566700E+3	-1.181000E+2	-2.981000E+2	1.566350E+3	-9.059000E+1	-2.704900E+2	1.566350E+3	-8.873000E+1	-2.687300E+2
1.566800E+3	1.694000E+2	-1.060000E+1	1.566400E+3	-1.295000E+2	-3.094000E+2	1.566400E+3	1.082000E+2	-7.180000E+1
1.566900E+3	-2.612000E+1	-2.061200E+2	1.566450E+3	-5.133000E+0	-1.850330E+2	1.566450E+3	-4.666000E+1	-2.266600E+2
1.567000E+3	-1.211000E+2	-3.011000E+2	1.566500E+3	-2.766000E+1	-2.075600E+2	1.566500E+3	-1.727000E+2	-3.527000E+2
1.567100E+3	1.535000E+2	-2.650000E+1	1.566550E+3	4.406000E+0	-1.754940E+2	1.566550E+3	8.891000E+1	-9.109000E+1
1.567200E+3	1.542000E+2	-2.580000E+1	1.566600E+3	8.831000E+1	-9.159000E+1	1.566600E+3	-2.758000E+1	-2.075800E+2
1.567300E+3	9.476000E+1	-8.524000E+1	1.566650E+3	-1.097000E+2	-2.896000E+2	1.566650E+3	-1.511000E+2	-3.311000E+2
1.567400E+3	1.431000E+2	-3.690000E+1	1.566700E+3	7.556000E+1	-1.043400E+2	1.566700E+3	-1.788000E+2	-3.588000E+2
1.567500E+3	4.499000E+1	-1.350100E+2	1.566750E+3	1.005000E+2	-7.940000E+1	1.566750E+3	1.769000E+2	-3.100000E+0
1.567600E+3	1.140000E+2	-6.600000E+1	1.566800E+3	1.327000E+2	-4.720000E+1	1.566800E+3	-1.542000E+2	-3.342000E+2
1.567700E+3	-1.350000E+2	-3.150000E+2	1.566850E+3	-8.345000E+1	-2.633500E+2	1.566850E+3	1.026000E+2	-7.740000E+1
1.567800E+3	7.182000E+1	-1.081800E+2	1.566900E+3	2.348000E+1	-1.564200E+2	1.566900E+3	1.520000E+2	-2.800000E+1
1.567900E+3	1.294000E+2	-5.060000E+1	1.566950E+3	-1.367000E+2	-3.166000E+2	1.566950E+3	1.319000E+2	-4.810000E+1
1.568000E+3	-1.431000E+2	-3.231000E+2	1.567000E+3	-7.427000E+1	-2.541700E+2	1.567000E+3	-6.976000E+1	-2.497600E+2
