26/10/2012
1560equalizedTMNoring _X	1560equalizedTMNoring_Y	1560equalizedTMNoring_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMNoring _X	V740D9_TMnoRing_dispersion1540equalizedTMNoring_Y	V740D9_TMnoRing_dispersion1540equalizedTMNoring_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMr20g350 _X	V740D9_TMnoRing_dispersion1540equalizedTMr20g350_Y	V740D9_TMnoRing_dispersion1540equalizedTMr20g350_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMr20g350_phase _X	V740D9_TMnoRing_dispersion1540equalizedTMr20g350_phase_Y	V740D9_TMnoRing_dispersion1540equalizedTMr20g350_phase_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMr20g450_phase _X	V740D9_TMnoRing_dispersion1540equalizedTMr20g450_phase_Y	V740D9_TMnoRing_dispersion1540equalizedTMr20g450_phase_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMr20g500 _X	V740D9_TMnoRing_dispersion1540equalizedTMr20g500_Y	V740D9_TMnoRing_dispersion1540equalizedTMr20g500_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMr20g550 _X	V740D9_TMnoRing_dispersion1540equalizedTMr20g550_Y	V740D9_TMnoRing_dispersion1540equalizedTMr20g550_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMr20g700 _X	V740D9_TMnoRing_dispersion1540equalizedTMr20g700_Y	V740D9_TMnoRing_dispersion1540equalizedTMr20g700_Ynorm	V740D9_TMnoRing_dispersion1540equalizedTMr20g700_amplitude _X	V740D9_TMnoRing_dispersion1540equalizedTMr20g700_amplitude_Y	V740D9_TMnoRing_dispersion1540equalizedTMr20g700_amplitude_Ynorm	V740D9_dispersion1540equalizedTMr20g700_g385g395 _X	V740D9_dispersion1540equalizedTMr20g700_g385g395_Y	V740D9_dispersion1540equalizedTMr20g700_g385g395_Ynorm	V740D9_dispersion1540equalizedTMr20g700_g385g395 _X	V740D9_dispersion1540equalizedTMr20g700_g385g395_Y	V740D9_dispersion1540equalizedTMr20g700_g385g395_Ynorm	V740D9_dispersion1540equalized_TEr20g200 _X	V740D9_dispersion1540equalized_TEr20g200_Y	V740D9_dispersion1540equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_TEr20g200 _X	dispersionV740D9_1560equalized_TEr20g200_Y	dispersionV740D9_1560equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_noRing _X	dispersionV740D9_1560equalized_noRing_Y	dispersionV740D9_1560equalized_noRing_Ynorm	dispersionV740D9_1560equalized_r20g275 _X	dispersionV740D9_1560equalized_r20g275_Y	dispersionV740D9_1560equalized_r20g275_Ynorm	dispersionV740D9_1560equalized_r20g325 _X	dispersionV740D9_1560equalized_r20g325_Y	dispersionV740D9_1560equalized_r20g325_Ynorm	dispersionV740D9_1560equalized_r20g400 _X	dispersionV740D9_1560equalized_r20g400_Y	dispersionV740D9_1560equalized_r20g400_Ynorm	dispersionV740D9_1560equalized_r20g170g180 _X	dispersionV740D9_1560equalized_r20g170g180_Y	dispersionV740D9_1560equalized_r20g170g180_Ynorm
1.530000E+3	1.600000E+2	-1.980000E+1	1.445000E+3	-9.000000E+1	-2.700000E+2	1.445000E+3	2.910000E-10	-8.143090E-7	1.445000E+3	-3.370000E+1	-2.137000E+2	1.445000E+3	-9.000000E+1	-2.699000E+2	1.445000E+3	8.999000E+1	-8.981000E+1	1.445000E+3	-4.500000E+1	-2.249000E+2	1.445000E+3	1.140000E+2	-6.600000E+1	1.445000E+3	1.746000E-10	-7.846254E-7	1.500000E+3	-8.292000E+1	-2.627200E+2	1.530000E+3	-1.037000E+2	-2.836000E+2	1.530000E+3	1.617000E+2	-1.830000E+1	1.530000E+3	-1.285000E+2	-3.066000E+2	1.530000E+3	-8.689000E+1	-2.108900E+2	1.530000E+3	-1.039000E+2	-2.834000E+2	1.530000E+3	-1.000000E+2	-2.373000E+2	1.530000E+3	-1.146000E+2	-2.537000E+2	1.530000E+3	-1.043000E+2	-2.833000E+2
1.530050E+3	1.407000E+2	-3.910000E+1	1.445050E+3	5.630000E+1	-1.237000E+2	1.445050E+3	1.630000E-9	-8.129700E-7	1.445050E+3	3.656000E+1	-1.434400E+2	1.445050E+3	8.548000E+1	-9.442000E+1	1.445050E+3	-9.469000E+0	-1.892690E+2	1.445050E+3	-2.595000E+1	-2.058500E+2	1.445050E+3	-9.731000E+1	-2.773100E+2	1.445050E+3	5.239000E-10	-7.842761E-7	1.500050E+3	-1.384000E+2	-3.182000E+2	1.530010E+3	-1.199000E+2	-2.998000E+2	1.530010E+3	1.763000E+2	-3.700000E+0	1.530010E+3	-1.263000E+2	-3.044000E+2	1.530100E+3	-9.648000E+1	-2.204800E+2	1.530010E+3	-1.115000E+2	-2.910000E+2	1.530010E+3	-1.126000E+2	-2.499000E+2	1.530010E+3	-1.265000E+2	-2.656000E+2	1.530010E+3	-1.199000E+2	-2.989000E+2
1.530100E+3	1.318000E+2	-4.800000E+1	1.445100E+3	5.573000E+1	-1.242700E+2	1.445100E+3	3.492000E-9	-8.111080E-7	1.445100E+3	3.765000E+1	-1.423500E+2	1.445100E+3	9.220000E+1	-8.770000E+1	1.445100E+3	-1.441000E+1	-1.942100E+2	1.445100E+3	-2.881000E+1	-2.087100E+2	1.445100E+3	-1.006000E+2	-2.806000E+2	1.445100E+3	1.979000E-9	-7.828210E-7	1.500100E+3	-1.696000E+2	-3.494000E+2	1.530020E+3	-1.336000E+2	-3.135000E+2	1.530020E+3	-1.775000E+2	-3.575000E+2	1.530020E+3	-1.235000E+2	-3.016000E+2	1.530200E+3	-1.027000E+2	-2.267000E+2	1.530020E+3	-1.150000E+2	-2.945000E+2	1.530020E+3	-1.158000E+2	-2.531000E+2	1.530020E+3	-1.339000E+2	-2.730000E+2	1.530020E+3	-1.330000E+2	-3.120000E+2
1.530150E+3	1.273000E+2	-5.250000E+1	1.445150E+3	5.605000E+1	-1.239500E+2	1.445150E+3	4.424000E-9	-8.101760E-7	1.445150E+3	4.132000E+1	-1.386800E+2	1.445150E+3	9.311000E+1	-8.679000E+1	1.445150E+3	-1.200000E+1	-1.918000E+2	1.445150E+3	-2.720000E+1	-2.071000E+2	1.445150E+3	-9.775000E+1	-2.777500E+2	1.445150E+3	3.085000E-9	-7.817150E-7	1.500150E+3	-1.693000E+2	-3.491000E+2	1.530030E+3	-1.394000E+2	-3.193000E+2	1.530030E+3	-1.742000E+2	-3.542000E+2	1.530030E+3	-1.216000E+2	-2.997000E+2	1.530300E+3	-1.053000E+2	-2.293000E+2	1.530030E+3	-1.165000E+2	-2.960000E+2	1.530030E+3	-1.168000E+2	-2.541000E+2	1.530030E+3	-1.371000E+2	-2.762000E+2	1.530030E+3	-1.396000E+2	-3.186000E+2
1.530200E+3	1.270000E+2	-5.280000E+1	1.445200E+3	5.888000E+1	-1.211200E+2	1.445200E+3	4.773000E-9	-8.098270E-7	1.445200E+3	4.988000E+1	-1.301200E+2	1.445200E+3	4.499000E+1	-1.349100E+2	1.445200E+3	-6.859000E+0	-1.866590E+2	1.445200E+3	-2.149000E+1	-2.013900E+2	1.445200E+3	-9.125000E+1	-2.712500E+2	1.445200E+3	3.900000E-9	-7.809000E-7	1.500200E+3	1.446000E+2	-3.520000E+1	1.530040E+3	-1.427000E+2	-3.226000E+2	1.530040E+3	-1.732000E+2	-3.532000E+2	1.530040E+3	-1.202000E+2	-2.983000E+2	1.530400E+3	-1.069000E+2	-2.309000E+2	1.530040E+3	-1.171000E+2	-2.966000E+2	1.530040E+3	-1.175000E+2	-2.548000E+2	1.530040E+3	-1.383000E+2	-2.774000E+2	1.530040E+3	-1.423000E+2	-3.213000E+2
1.530250E+3	1.273000E+2	-5.250000E+1	1.445250E+3	6.470000E+1	-1.153000E+2	1.445250E+3	4.715000E-9	-8.098850E-7	1.445250E+3	6.308000E+1	-1.169200E+2	1.445250E+3	3.400000E+1	-1.459000E+2	1.445250E+3	4.219000E-1	-1.793781E+2	1.445250E+3	-1.227000E+1	-1.921700E+2	1.445250E+3	-8.113000E+1	-2.611300E+2	1.445250E+3	4.366000E-9	-7.804340E-7	1.500250E+3	1.188000E+2	-6.100000E+1	1.530050E+3	-1.436000E+2	-3.235000E+2	1.530050E+3	-1.727000E+2	-3.527000E+2	1.530050E+3	-1.196000E+2	-2.977000E+2	1.530500E+3	-1.075000E+2	-2.315000E+2	1.530050E+3	-1.173000E+2	-2.968000E+2	1.530050E+3	-1.180000E+2	-2.553000E+2	1.530050E+3	-1.387000E+2	-2.778000E+2	1.530050E+3	-1.433000E+2	-3.223000E+2
1.530300E+3	1.281000E+2	-5.170000E+1	1.445300E+3	7.666000E+1	-1.033400E+2	1.445300E+3	4.540000E-9	-8.100600E-7	1.445300E+3	8.232000E+1	-9.768000E+1	1.445300E+3	5.088000E+1	-1.290200E+2	1.445300E+3	9.875000E+0	-1.699250E+2	1.445300E+3	8.063000E+0	-1.718370E+2	1.445300E+3	-7.054000E+1	-2.505400E+2	1.445300E+3	4.424000E-9	-7.803760E-7	1.500300E+3	1.268000E+2	-5.300000E+1	1.530060E+3	-1.438000E+2	-3.237000E+2	1.530060E+3	-1.724000E+2	-3.524000E+2	1.530060E+3	-1.190000E+2	-2.971000E+2	1.530600E+3	-1.064000E+2	-2.304000E+2	1.530060E+3	-1.174000E+2	-2.969000E+2	1.530060E+3	-1.180000E+2	-2.553000E+2	1.530060E+3	-1.389000E+2	-2.780000E+2	1.530060E+3	-1.434000E+2	-3.224000E+2
1.530350E+3	1.296000E+2	-5.020000E+1	1.445350E+3	9.691000E+1	-8.309000E+1	1.445350E+3	4.424000E-9	-8.101760E-7	1.445350E+3	1.027000E+2	-7.730000E+1	1.445350E+3	7.185000E+1	-1.080500E+2	1.445350E+3	2.172000E+1	-1.580800E+2	1.445350E+3	2.405000E+1	-1.558500E+2	1.445350E+3	-4.440000E+1	-2.244000E+2	1.445350E+3	4.366000E-9	-7.804340E-7	1.500350E+3	1.352000E+2	-4.460000E+1	1.530070E+3	-1.436000E+2	-3.235000E+2	1.530070E+3	-1.720000E+2	-3.520000E+2	1.530070E+3	-1.183000E+2	-2.964000E+2	1.530700E+3	-1.040000E+2	-2.280000E+2	1.530070E+3	-1.175000E+2	-2.970000E+2	1.530070E+3	-1.180000E+2	-2.553000E+2	1.530070E+3	-1.391000E+2	-2.782000E+2	1.530070E+3	-1.433000E+2	-3.223000E+2
1.530400E+3	1.313000E+2	-4.850000E+1	1.445400E+3	1.189000E+2	-6.110000E+1	1.445400E+3	4.424000E-9	-8.101760E-7	1.445400E+3	1.303000E+2	-4.970000E+1	1.445400E+3	8.909000E+1	-9.081000E+1	1.445400E+3	3.705000E+1	-1.427500E+2	1.445400E+3	4.406000E+1	-1.358400E+2	1.445400E+3	-2.948000E+1	-2.094800E+2	1.445400E+3	4.133000E-9	-7.806670E-7	1.500400E+3	1.423000E+2	-3.750000E+1	1.530080E+3	-1.433000E+2	-3.232000E+2	1.530080E+3	-1.717000E+2	-3.517000E+2	1.530080E+3	-1.175000E+2	-2.956000E+2	1.530800E+3	-9.862000E+1	-2.226200E+2	1.530080E+3	-1.175000E+2	-2.970000E+2	1.530080E+3	-1.182000E+2	-2.555000E+2	1.530080E+3	-1.393000E+2	-2.784000E+2	1.530080E+3	-1.430000E+2	-3.220000E+2
1.530450E+3	1.348000E+2	-4.500000E+1	1.445450E+3	1.409000E+2	-3.910000E+1	1.445450E+3	4.424000E-9	-8.101760E-7	1.445450E+3	1.514000E+2	-2.860000E+1	1.445450E+3	1.091000E+2	-7.080000E+1	1.445450E+3	5.512000E+1	-1.246800E+2	1.445450E+3	6.025000E+1	-1.196500E+2	1.445450E+3	-1.352000E+1	-1.935200E+2	1.445450E+3	4.249000E-9	-7.805510E-7	1.500450E+3	1.513000E+2	-2.850000E+1	1.530090E+3	-1.428000E+2	-3.227000E+2	1.530090E+3	-1.714000E+2	-3.514000E+2	1.530090E+3	-1.170000E+2	-2.951000E+2	1.530900E+3	-9.445000E+1	-2.184500E+2	1.530090E+3	-1.176000E+2	-2.971000E+2	1.530090E+3	-1.184000E+2	-2.557000E+2	1.530090E+3	-1.395000E+2	-2.786000E+2	1.530090E+3	-1.428000E+2	-3.218000E+2
