26/10/2012
V740D9_dispersion1540equalized_TEr20g200 _X	V740D9_dispersion1540equalized_TEr20g200_Y	V740D9_dispersion1540equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_TEr20g200 _X	dispersionV740D9_1560equalized_TEr20g200_Y	dispersionV740D9_1560equalized_TEr20g200_Ynorm	dispersionV740D9_1560equalized_noRing _X	dispersionV740D9_1560equalized_noRing_Y	dispersionV740D9_1560equalized_noRing_Ynorm	dispersionV740D9_1560equalized_r20g275 _X	dispersionV740D9_1560equalized_r20g275_Y	dispersionV740D9_1560equalized_r20g275_Ynorm	dispersionV740D9_1560equalized_r20g325 _X	dispersionV740D9_1560equalized_r20g325_Y	dispersionV740D9_1560equalized_r20g325_Ynorm	dispersionV740D9_1560equalized_r20g400 _X	dispersionV740D9_1560equalized_r20g400_Y	dispersionV740D9_1560equalized_r20g400_Ynorm	dispersionV740D9_1560equalized_r20g170g180 _X	dispersionV740D9_1560equalized_r20g170g180_Y	dispersionV740D9_1560equalized_r20g170g180_Ynorm
1.530000E+3	1.617000E+2	-1.830000E+1	1.530000E+3	-1.285000E+2	-3.066000E+2	1.530000E+3	-8.689000E+1	-2.108900E+2	1.530000E+3	-1.039000E+2	-2.834000E+2	1.530000E+3	-1.000000E+2	-2.373000E+2	1.530000E+3	-1.146000E+2	-2.537000E+2	1.530000E+3	-1.043000E+2	-2.833000E+2
1.530010E+3	1.763000E+2	-3.700000E+0	1.530010E+3	-1.263000E+2	-3.044000E+2	1.530100E+3	-9.648000E+1	-2.204800E+2	1.530010E+3	-1.115000E+2	-2.910000E+2	1.530010E+3	-1.126000E+2	-2.499000E+2	1.530010E+3	-1.265000E+2	-2.656000E+2	1.530010E+3	-1.199000E+2	-2.989000E+2
1.530020E+3	-1.775000E+2	-3.575000E+2	1.530020E+3	-1.235000E+2	-3.016000E+2	1.530200E+3	-1.027000E+2	-2.267000E+2	1.530020E+3	-1.150000E+2	-2.945000E+2	1.530020E+3	-1.158000E+2	-2.531000E+2	1.530020E+3	-1.339000E+2	-2.730000E+2	1.530020E+3	-1.330000E+2	-3.120000E+2
1.530030E+3	-1.742000E+2	-3.542000E+2	1.530030E+3	-1.216000E+2	-2.997000E+2	1.530300E+3	-1.053000E+2	-2.293000E+2	1.530030E+3	-1.165000E+2	-2.960000E+2	1.530030E+3	-1.168000E+2	-2.541000E+2	1.530030E+3	-1.371000E+2	-2.762000E+2	1.530030E+3	-1.396000E+2	-3.186000E+2
1.530040E+3	-1.732000E+2	-3.532000E+2	1.530040E+3	-1.202000E+2	-2.983000E+2	1.530400E+3	-1.069000E+2	-2.309000E+2	1.530040E+3	-1.171000E+2	-2.966000E+2	1.530040E+3	-1.175000E+2	-2.548000E+2	1.530040E+3	-1.383000E+2	-2.774000E+2	1.530040E+3	-1.423000E+2	-3.213000E+2
1.530050E+3	-1.727000E+2	-3.527000E+2	1.530050E+3	-1.196000E+2	-2.977000E+2	1.530500E+3	-1.075000E+2	-2.315000E+2	1.530050E+3	-1.173000E+2	-2.968000E+2	1.530050E+3	-1.180000E+2	-2.553000E+2	1.530050E+3	-1.387000E+2	-2.778000E+2	1.530050E+3	-1.433000E+2	-3.223000E+2
1.530060E+3	-1.724000E+2	-3.524000E+2	1.530060E+3	-1.190000E+2	-2.971000E+2	1.530600E+3	-1.064000E+2	-2.304000E+2	1.530060E+3	-1.174000E+2	-2.969000E+2	1.530060E+3	-1.180000E+2	-2.553000E+2	1.530060E+3	-1.389000E+2	-2.780000E+2	1.530060E+3	-1.434000E+2	-3.224000E+2
1.530070E+3	-1.720000E+2	-3.520000E+2	1.530070E+3	-1.183000E+2	-2.964000E+2	1.530700E+3	-1.040000E+2	-2.280000E+2	1.530070E+3	-1.175000E+2	-2.970000E+2	1.530070E+3	-1.180000E+2	-2.553000E+2	1.530070E+3	-1.391000E+2	-2.782000E+2	1.530070E+3	-1.433000E+2	-3.223000E+2
1.530080E+3	-1.717000E+2	-3.517000E+2	1.530080E+3	-1.175000E+2	-2.956000E+2	1.530800E+3	-9.862000E+1	-2.226200E+2	1.530080E+3	-1.175000E+2	-2.970000E+2	1.530080E+3	-1.182000E+2	-2.555000E+2	1.530080E+3	-1.393000E+2	-2.784000E+2	1.530080E+3	-1.430000E+2	-3.220000E+2
1.530090E+3	-1.714000E+2	-3.514000E+2	1.530090E+3	-1.170000E+2	-2.951000E+2	1.530900E+3	-9.445000E+1	-2.184500E+2	1.530090E+3	-1.176000E+2	-2.971000E+2	1.530090E+3	-1.184000E+2	-2.557000E+2	1.530090E+3	-1.395000E+2	-2.786000E+2	1.530090E+3	-1.428000E+2	-3.218000E+2
